year,season,noc,height_male,weight_male,height_female,weight_female,medals
1960,Summer,GUY,175.75,69.25,166.0,59.0,0
1960,Summer,HUN,176.12,72.94,163.31,57.13,65
1960,Summer,INA,169.05,65.4,161.0,56.0,0
1960,Summer,IRL,174.53,68.92,161.67,55.33,0
1960,Summer,ISR,174.37,71.44,158.74,52.32,0
1960,Summer,ITA,175.45,73.24,162.19,56.17,77
1960,Summer,JPN,167.67,63.58,155.42,53.67,31
1960,Summer,KOR,168.86,63.6,160.17,55.0,0
1960,Summer,LUX,174.32,71.16,160.62,57.54,0
1960,Summer,MEX,173.45,70.51,165.92,53.62,1
1960,Summer,NED,181.22,77.26,165.91,60.14,3
1960,Summer,NOR,177.51,74.06,174.0,59.0,2
1960,Summer,NZL,178.27,74.36,175.17,67.83,3
1960,Summer,PAN,159.5,55.5,160.5,52.17,0
1960,Summer,PHI,172.64,65.8,160.8,54.0,0
1960,Summer,POL,175.18,71.98,162.14,57.52,30
1960,Summer,POR,172.83,71.96,162.65,60.71,2
1960,Summer,PUR,180.57,74.96,164.0,69.0,0
1960,Summer,RHO,170.09,66.36,161.0,55.0,0
1960,Summer,ROU,173.5,72.44,158.84,55.49,15
1960,Summer,RSA,179.73,76.28,162.5,61.33,3
1960,Summer,SUI,174.42,71.43,168.0,55.0,12
1960,Summer,SWE,177.11,70.45,165.04,57.55,7
1960,Summer,TCH,174.71,73.71,162.31,58.31,22
1960,Summer,TPE,170.93,64.93,164.25,56.75,1
1960,Summer,TUR,174.96,71.73,165.0,57.0,7
1960,Summer,URS,176.42,75.19,164.07,59.93,169
1960,Summer,USA,181.47,76.7,165.33,56.84,125
1960,Summer,VEN,171.82,68.14,164.33,58.44,1
1960,Summer,YUG,177.01,75.12,160.77,56.45,17
1960,Winter,AUS,162.0,56.0,167.0,57.0,0
1960,Winter,AUT,169.8,71.8,168.0,68.0,0
1960,Winter,CAN,177.4,78.73,161.76,61.94,14
1960,Winter,FIN,173.96,71.71,161.86,55.14,13
1960,Winter,FRA,170.93,69.93,165.8,59.0,1
1960,Winter,GBR,178.0,71.2,137.0,36.0,0
1960,Winter,GER,176.74,73.92,164.81,58.62,8
1960,Winter,ITA,170.61,67.96,162.0,58.0,0
1960,Winter,JPN,168.5,65.22,155.0,52.15,0
1960,Winter,NED,182.0,71.0,164.5,53.5,2
1960,Winter,POL,170.15,70.85,160.27,57.33,2
1960,Winter,SWE,178.75,75.85,164.55,60.18,3
1960,Winter,URS,176.04,77.07,160.1,58.7,26
1960,Winter,USA,179.57,77.83,161.64,56.45,18
1964,Summer,ARG,175.52,74.78,172.91,62.36,1
1964,Summer,AUS,177.77,73.85,161.7,56.04,37
1964,Summer,AUT,178.77,77.19,167.19,63.14,0
1964,Summer,BEL,177.34,74.51,165.0,59.0,3
1964,Summer,BRA,184.97,81.73,173.0,68.0,12
1964,Summer,BUL,173.54,70.54,165.67,63.53,9
1964,Summer,CAN,179.53,76.24,163.66,55.95,5
1964,Summer,CUB,170.71,65.56,168.33,60.67,1
1964,Summer,DEN,178.54,74.51,170.6,60.7,12
1964,Summer,ESP,174.29,70.06,163.2,55.2,0
1964,Summer,FIN,177.73,72.91,167.92,57.08,5
1964,Summer,FRA,176.77,72.31,166.5,59.05,31
1964,Summer,GBR,177.74,72.67,166.56,61.49,28
1964,Summer,GER,177.44,74.78,166.22,59.58,116
1964,Summer,GHA,175.16,67.69,166.5,54.75,1
1964,Summer,HKG,172.94,66.63,160.0,49.0,0
1964,Summer,HUN,176.95,74.55,164.32,58.15,56
1964,Summer,IND,170.14,67.1,158.0,50.0,15
1964,Summer,IRI,170.87,66.71,157.1,49.7,2
1964,Summer,IRL,177.36,70.18,159.0,57.0,1
1964,Summer,ISL,180.0,72.0,183.0,62.0,0
1964,Summer,ISR,172.5,74.4,167.33,59.33,0
1964,Summer,ITA,175.5,73.54,168.06,60.72,51
1964,Summer,JAM,178.68,73.5,168.33,55.33,0
1964,Summer,JPN,170.29,65.97,158.85,55.23,62
1964,Summer,KOR,169.91,64.73,160.82,54.55,3
1964,Summer,LUX,169.56,66.44,161.0,57.5,0
1964,Summer,MAS,169.2,65.35,160.67,54.17,0
1964,Summer,MEX,174.24,69.39,161.83,49.83,1
1964,Summer,MGL,168.84,67.6,157.23,53.46,0
1964,Summer,NED,181.94,77.62,171.84,65.0,31
1964,Summer,NGR,175.88,67.31,167.5,57.0,1
1964,Summer,NOR,179.87,73.87,165.0,60.0,0
1964,Summer,NZL,179.22,76.48,167.96,62.22,6
1964,Summer,PAN,168.5,68.83,160.11,53.33,0
1964,Summer,PER,180.18,78.56,161.0,52.0,0
1964,Summer,PHI,168.4,62.56,160.57,51.29,1
1964,Summer,POL,175.8,72.88,163.39,58.5,46
1964,Summer,POR,171.24,73.29,156.0,58.0,0
1964,Summer,PUR,179.35,75.38,170.0,55.12,0
1964,Summer,ROU,174.85,72.58,162.2,57.61,16
1964,Summer,SUI,174.77,71.73,175.0,67.0,5
1964,Summer,SWE,178.83,72.74,163.47,55.64,15
1964,Summer,TCH,175.97,74.52,160.15,55.32,54
1964,Summer,THA,169.02,64.14,160.56,52.0,0
1964,Summer,TPE,165.21,60.73,158.9,52.5,0
1964,Summer,UGA,177.75,72.81,161.0,56.67,0
1964,Summer,URS,177.81,76.68,165.23,60.77,174
1964,Summer,USA,181.3,77.35,166.57,57.38,169
1964,Summer,VEN,176.62,74.62,169.0,66.0,0
1964,Summer,YUG,176.97,75.75,172.25,63.75,15
1964,Summer,ZAM,176.64,68.79,163.0,57.0,0
1964,Summer,ZIM,177.0,72.7,163.0,60.0,0
1964,Winter,AUT,176.25,77.1,170.17,62.5,11
1964,Winter,BUL,163.0,63.0,170.1,64.1,0
1964,Winter,CAN,176.71,77.48,162.27,62.88,2
1964,Winter,FIN,174.03,71.83,165.42,56.26,15
1964,Winter,FRA,173.3,70.1,166.38,58.56,6
1964,Winter,GBR,176.42,76.47,165.14,59.5,2
1964,Winter,GER,175.99,73.75,164.36,58.3,10
1964,Winter,HUN,176.76,74.56,162.0,60.5,0
1964,Winter,ITA,174.3,72.67,163.14,55.57,10
1964,Winter,JPN,167.55,64.0,156.6,53.93,0
1964,Winter,NED,176.8,75.0,169.0,54.0,2
1964,Winter,NOR,180.32,75.55,167.0,57.0,7
1964,Winter,POL,171.1,71.76,159.92,56.79,0
1964,Winter,PRK,167.75,67.12,161.89,60.33,1
1964,Winter,SUI,174.84,72.47,164.5,58.81,0
1964,Winter,SWE,176.4,72.69,166.67,60.83,27
1964,Winter,TCH,175.8,77.04,167.0,61.0,17
1964,Winter,URS,174.79,74.98,160.18,58.0,40
1964,Winter,USA,177.85,77.85,164.03,59.19,8
1964,Winter,YUG,177.63,74.74,167.0,60.0,0
1968,Summer,AHO,172.67,74.0,174.0,58.5,0
1968,Summer,ARG,176.28,74.18,165.11,58.56,2
1968,Summer,AUS,178.69,74.62,165.16,56.48,51
1968,Summer,AUT,179.83,76.98,172.45,66.73,5
1968,Summer,BEL,179.28,74.31,162.81,57.06,3
1968,Summer,BRA,180.54,76.96,168.75,59.75,4
1968,Summer,BUL,175.67,71.42,165.61,61.32,26
1968,Summer,CAN,177.76,73.19,164.61,57.72,10
1968,Summer,CHI,173.42,70.11,162.5,67.5,0
1968,Summer,COL,172.11,68.62,163.93,56.43,0
1968,Summer,CRC,172.92,71.67,155.0,51.0,0
1968,Summer,CUB,172.53,70.76,156.4,51.48,10
1968,Summer,DEN,177.59,73.19,167.4,57.1,17
1968,Summer,ECU,170.62,67.23,169.0,54.0,0
1968,Summer,ESA,171.35,65.1,167.35,53.62,0
1968,Summer,ESP,176.81,72.43,167.33,59.67,0
1968,Summer,FIN,174.8,72.21,165.92,57.71,4
1968,Summer,FRA,176.76,73.17,164.94,55.93,27
1968,Summer,FRG,179.6,76.64,166.77,58.84,51
1968,Summer,GBR,179.75,74.31,166.02,58.6,18
1968,Summer,GDR,177.59,73.56,165.88,56.43,52
1968,Summer,GHA,174.35,68.91,163.0,44.0,0
1968,Summer,GUA,171.4,65.05,154.0,55.0,0
1968,Summer,HUN,177.1,73.73,165.41,57.75,81
1968,Summer,IRL,177.67,70.38,163.27,58.64,0
1968,Summer,ISL,182.56,79.78,181.5,64.0,0
1968,Summer,ISR,174.47,71.12,166.29,62.43,0
1968,Summer,ITA,175.58,71.94,164.12,56.24,32
1968,Summer,JAM,178.52,74.91,168.18,56.36,1
1968,Summer,JPN,170.51,66.93,160.3,53.38,63
1968,Summer,KEN,174.36,65.94,164.0,54.33,12
1968,Summer,KOR,171.35,66.82,168.23,61.54,2
1968,Summer,LUX,172.25,68.0,167.33,57.33,0
1968,Summer,MEX,173.93,68.16,160.04,54.32,9
1968,Summer,MGL,169.0,67.32,152.62,51.12,4
1968,Summer,NED,182.77,79.98,169.74,62.3,14
1968,Summer,NGR,172.14,67.14,160.44,52.44,0
1968,Summer,NOR,181.23,78.4,163.77,55.41,6
1968,Summer,NZL,179.96,79.65,168.43,66.07,7
1968,Summer,PER,177.35,73.53,165.38,61.44,0
1968,Summer,PHI,173.56,65.47,169.2,58.9,0
1968,Summer,POL,176.89,73.32,165.58,57.68,37
1968,Summer,POR,170.43,68.54,156.0,58.0,0
1968,Summer,PUR,178.0,73.74,164.0,53.17,0
1968,Summer,ROU,177.33,75.33,167.33,62.95,23
1968,Summer,SUI,176.14,73.31,172.25,61.25,13
1968,Summer,SWE,181.67,75.92,165.86,55.78,9
1968,Summer,TCH,175.93,73.54,165.7,58.68,29
1968,Summer,TPE,168.92,63.06,161.52,52.97,1
1968,Summer,URS,178.47,76.46,166.57,60.1,192
1968,Summer,URU,174.86,72.86,162.0,58.04,0
1968,Summer,USA,181.32,77.77,166.99,58.05,166
1968,Summer,VNM,166.43,61.29,163.0,54.0,0
1968,Summer,YUG,176.4,74.2,168.54,59.92,29
1968,Winter,ARG,180.0,80.0,164.0,55.67,0
1968,Winter,AUT,175.89,75.74,168.68,61.95,15
1968,Winter,BUL,166.6,65.4,164.18,60.55,0
1968,Winter,CAN,178.05,75.69,163.77,58.47,20
1968,Winter,CHI,174.67,72.67,170.0,59.0,0
1968,Winter,DEN,182.0,71.5,168.0,53.0,0
1968,Winter,FIN,175.24,72.39,165.91,57.37,8
1968,Winter,FRA,173.96,71.61,164.54,58.77,9
1968,Winter,FRG,177.96,75.66,167.84,59.46,10
1968,Winter,GBR,176.74,76.65,166.88,60.65,0
1968,Winter,GDR,177.49,75.56,162.24,56.35,5
1968,Winter,HUN,172.44,71.67,167.33,64.67,0
1968,Winter,ITA,174.56,72.84,164.94,56.12,8
1968,Winter,JPN,167.7,64.79,156.17,52.83,0
1968,Winter,KOR,170.2,64.5,159.5,54.25,0
1968,Winter,LIE,173.93,69.93,175.0,65.0,0
1968,Winter,NED,177.71,73.43,171.83,67.17,9
1968,Winter,NOR,179.71,75.4,167.05,61.11,21
1968,Winter,NZL,183.55,80.27,163.75,60.25,0
1968,Winter,POL,172.89,71.95,162.2,59.8,0
1968,Winter,ROU,173.72,72.64,151.0,38.0,2
1968,Winter,SUI,173.9,71.73,164.92,57.85,9
1968,Winter,SWE,178.53,73.91,163.17,58.13,16
1968,Winter,TCH,175.36,75.36,165.11,57.78,21
1968,Winter,URS,175.73,74.41,163.81,60.19,35
1968,Winter,USA,179.77,78.04,163.78,55.47,7
1968,Winter,YUG,175.58,72.67,167.0,60.0,0
1972,Summer,ARG,176.5,74.37,166.8,67.1,1
1972,Summer,AUS,179.56,76.66,166.17,55.68,20
1972,Summer,AUT,178.75,75.82,169.45,62.4,3
1972,Summer,BAH,182.29,76.5,168.0,51.0,0
1972,Summer,BAR,172.55,73.64,161.0,58.0,0
1972,Summer,BEL,176.82,73.23,166.71,58.29,2
1972,Summer,BRA,181.21,78.47,166.14,56.29,2
1972,Summer,BUL,174.59,72.2,162.49,56.61,22
1972,Summer,CAM,171.33,67.0,153.0,48.0,0
1972,Summer,CAN,179.91,75.6,165.89,55.37,11
1972,Summer,CHI,168.33,63.22,165.0,82.0,0
1972,Summer,COL,167.38,64.28,153.75,54.67,3
1972,Summer,CUB,174.88,73.95,167.43,60.09,22
1972,Summer,DEN,181.88,76.48,171.73,62.0,1
1972,Summer,ESP,175.84,73.88,151.86,47.29,1
1972,Summer,FIN,178.91,77.48,166.67,57.03,10
1972,Summer,FRA,177.33,73.35,165.51,55.87,22
1972,Summer,FRG,180.24,76.7,168.14,57.14,102
1972,Summer,GBR,179.01,74.35,163.83,56.77,29
1972,Summer,GDR,178.63,74.87,166.52,56.96,151
1972,Summer,GHA,176.62,71.16,164.0,48.0,1
1972,Summer,GRE,176.5,76.67,165.67,55.33,2
1972,Summer,HAI,173.0,67.17,169.0,70.0,0
1972,Summer,HUN,177.65,75.09,167.28,58.26,81
1972,Summer,INA,165.0,59.33,160.67,50.67,0
1972,Summer,IND,174.38,70.93,168.0,60.0,14
1972,Summer,IRL,177.27,73.73,166.45,56.6,0
1972,Summer,ISL,182.46,80.04,175.0,63.0,0
1972,Summer,ISR,169.77,71.23,167.5,61.0,0
1972,Summer,ITA,176.69,73.52,162.68,52.49,25
1972,Summer,JAM,177.94,68.62,166.21,54.11,1
1972,Summer,JPN,172.03,68.73,161.17,54.34,56
1972,Summer,KEN,175.61,67.16,166.67,57.0,12
1972,Summer,KOR,174.67,69.48,169.9,62.8,1
1972,Summer,LIB,175.12,74.59,160.5,52.0,1
1972,Summer,MAR,175.86,71.0,162.33,52.67,0
1972,Summer,MAS,168.84,60.58,158.8,51.0,0
1972,Summer,MAW,168.67,63.17,158.0,51.5,0
1972,Summer,MEX,173.12,69.19,161.3,52.16,1
1972,Summer,MGL,168.68,67.28,156.0,51.0,1
1972,Summer,NCA,165.75,62.12,155.0,50.0,0
1972,Summer,NED,184.16,79.83,167.24,58.36,3
1972,Summer,NGR,175.48,72.3,166.55,61.64,1
1972,Summer,NOR,182.23,77.99,163.31,52.07,8
1972,Summer,NZL,180.83,78.02,166.38,60.25,12
1972,Summer,PER,173.25,73.79,166.25,60.25,0
1972,Summer,PHI,172.73,67.54,162.62,56.62,0
1972,Summer,POL,177.04,73.46,163.71,56.54,46
1972,Summer,PRK,163.49,60.06,170.3,73.9,14
1972,Summer,ROU,177.84,74.43,163.97,56.76,40
1972,Summer,SGP,168.5,56.0,168.33,60.33,0
1972,Summer,SUI,176.37,72.4,162.67,51.55,8
1972,Summer,SWE,182.59,77.21,168.0,57.47,22
1972,Summer,SYR,165.25,60.75,171.0,56.0,0
1972,Summer,TCH,179.2,77.48,165.21,58.77,29
1972,Summer,TPE,172.62,67.07,164.0,53.71,0
1972,Summer,TTO,177.85,73.56,162.0,50.0,0
1972,Summer,TUR,173.57,69.51,166.0,50.0,1
1972,Summer,UGA,173.58,67.73,168.0,52.5,2
1972,Summer,URS,178.6,76.86,166.25,59.4,208
1972,Summer,URU,172.77,69.62,165.29,62.0,0
1972,Summer,USA,181.54,76.84,167.03,57.66,171
1972,Summer,VEN,177.25,71.17,165.5,56.62,0
1972,Summer,YUG,179.32,76.87,160.53,52.02,18
1972,Summer,ZAM,171.12,60.25,163.25,54.25,0
1972,Winter,AUT,176.76,75.71,168.71,62.59,5
1972,Winter,CAN,178.49,72.22,164.94,57.44,1
1972,Winter,ESP,171.5,70.0,166.0,54.0,1
1972,Winter,FIN,177.28,73.9,163.33,56.69,10
1972,Winter,FRA,176.38,71.32,161.23,53.46,3
1972,Winter,FRG,179.34,77.28,167.06,60.44,10
1972,Winter,GBR,176.42,73.19,167.25,59.44,0
1972,Winter,GDR,176.63,71.89,164.39,58.52,20
1972,Winter,ITA,175.22,72.72,161.5,55.0,9
1972,Winter,JPN,170.15,66.36,156.74,55.44,3
1972,Winter,KOR,170.0,60.0,164.62,54.12,0
1972,Winter,LIE,177.14,72.71,175.0,65.0,0
1972,Winter,NED,178.08,74.77,168.92,62.69,9
1972,Winter,NOR,179.62,74.8,169.15,59.42,17
1972,Winter,POL,174.71,73.9,164.33,62.67,1
1972,Winter,SUI,175.8,73.36,164.92,59.46,17
1972,Winter,SWE,179.99,75.5,166.08,57.92,4
1972,Winter,TCH,177.62,77.8,159.82,51.55,20
1972,Winter,URS,174.49,72.32,163.23,59.41,45
1972,Winter,USA,178.34,74.39,164.86,56.0,24
1976,Summer,ARG,178.78,78.42,160.22,54.72,0
1976,Summer,AUS,180.93,76.09,166.41,57.86,22
1976,Summer,AUT,178.93,77.46,173.0,62.5,1
1976,Summer,BAH,181.93,77.64,170.0,52.0,0
1976,Summer,BAR,172.86,68.14,159.0,57.0,0
1976,Summer,BEL,180.68,76.19,165.64,55.66,9
1976,Summer,BER,177.79,75.11,156.0,53.0,1
1976,Summer,BRA,178.92,75.19,168.0,56.2,3
1976,Summer,BUL,173.13,71.59,164.38,56.92,39
1976,Summer,CAN,180.55,75.74,168.59,59.31,20
1976,Summer,CIV,177.29,73.0,169.0,56.0,0
1976,Summer,COL,164.92,63.22,159.33,53.17,0
1976,Summer,CRC,174.2,73.8,166.0,48.0,0
1976,Summer,CUB,178.07,75.79,170.17,64.47,24
1976,Summer,DEN,179.46,73.88,167.58,60.58,8
1976,Summer,DOM,168.44,57.78,160.0,52.0,0
1976,Summer,ESP,173.67,71.77,162.27,52.0,6
1976,Summer,FIN,181.42,79.32,170.64,57.64,6
1976,Summer,FRA,176.04,71.18,166.0,55.81,20
1976,Summer,FRG,180.77,76.93,167.31,55.69,74
1976,Summer,GBR,179.69,74.88,165.77,57.02,29
1976,Summer,GDR,178.04,75.83,169.36,61.8,195
1976,Summer,GRE,174.74,72.91,173.0,64.5,0
1976,Summer,GUA,174.27,68.12,162.5,50.0,0
1976,Summer,HAI,172.55,67.0,161.33,59.33,0
1976,Summer,HKG,173.84,62.59,164.5,51.0,0
1976,Summer,HUN,175.64,72.85,166.9,56.24,55
1976,Summer,INA,167.0,64.5,160.33,53.0,0
1976,Summer,IRI,174.11,71.78,158.57,52.43,2
1976,Summer,IRL,176.75,73.15,165.0,55.4,0
1976,Summer,ISL,184.8,93.6,170.0,56.0,0
1976,Summer,ISR,173.17,73.21,165.0,56.0,0
1976,Summer,ISV,179.0,75.0,162.25,54.0,0
1976,Summer,ITA,178.56,75.18,164.04,53.22,31
1976,Summer,JAM,181.47,72.82,165.63,53.74,2
1976,Summer,JPN,172.24,68.85,161.38,53.29,41
1976,Summer,KOR,173.44,68.64,170.67,62.67,17
1976,Summer,LIE,179.67,82.17,158.0,47.33,0
1976,Summer,MEX,175.66,70.36,162.73,52.27,2
1976,Summer,MGL,171.84,68.81,165.5,56.5,1
1976,Summer,NED,182.59,77.99,169.36,60.19,14
1976,Summer,NOR,183.21,79.86,176.67,65.67,6
1976,Summer,NZL,179.63,75.75,169.26,61.42,25
1976,Summer,PAN,171.83,70.67,173.0,60.0,0
1976,Summer,POL,176.82,73.14,169.23,65.35,73
1976,Summer,PRK,171.16,69.61,163.5,57.0,2
1976,Summer,PUR,178.07,73.88,167.25,54.2,1
1976,Summer,ROU,176.99,74.65,165.05,57.14,54
1976,Summer,SEN,179.4,81.77,171.67,55.0,0
1976,Summer,SGP,166.33,72.67,165.0,53.0,0
1976,Summer,SMR,177.75,79.0,164.0,53.0,0
1976,Summer,SUI,175.35,70.88,167.2,57.2,10
1976,Summer,SWE,181.95,78.56,172.53,60.62,10
